event,event_id,eventmerge,usrid,time,event_duration,event_id
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 17:06:10.915,893.0,MainPg
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:10.926,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:10.935,null,FortuneHideCardBalaCl
AppEvent,fortunePageCl,AppEvent-fortunePageCl,c00389049878,2020-12-29 17:06:10.946,null,fortunePageCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:11.109,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:11.119,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:11.808,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:11.82,null,FortuneHideCardBalaCl
FortuneFunctionCl,null,null,c00389049878,2020-12-29 17:06:12.404,null,null
FortuneFunctionCl,null,null,c00389049878,2020-12-29 17:06:12.415,null,null
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 17:06:12.441,null,Main
AppPageView,Delegate,AppPageView-Delegate,c00389049878,2020-12-29 17:06:12.499,33.0,Delegate
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:12.512,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 17:06:12.52,null,FortuneHideCardBalaCl
AppEvent,trackStartLoadingRN,AppEvent-trackStartLoadingRN,c00389049878,2020-12-29 17:06:12.677,null,trackStartLoadingRN
AppEvent,trackRNJavaScriptDidLoad,AppEvent-trackRNJavaScriptDidLoad,c00389049878,2020-12-29 17:06:12.716,null,trackRNJavaScriptDidLoad
AppPageView,TransferMoneyPg,AppPageView-TransferMoneyPg,c00389049878,2020-12-29 17:06:13.061,3.0,TransferMoneyPg
AppEvent,transferMoreInfo,AppEvent-transferMoreInfo,c00389049878,2020-12-29 17:07:43.646,null,transferMoreInfo
AppEvent,TransferMoreInfoCl,AppEvent-TransferMoreInfoCl,c00389049878,2020-12-29 17:07:43.663,null,TransferMoreInfoCl
$AppEnd,null,null,c00389049878,2020-12-29 17:08:23.996,142.0,null
$AppStart,null,null,c00389049878,2020-12-29 17:13:54.731,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 17:13:54.757,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:13:55.632,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 17:13:55.677,null,collectDeviceFingerSuccess
AppEvent,tsfMnCardTsfCl,AppEvent-tsfMnCardTsfCl,c00389049878,2020-12-29 17:14:36.131,null,tsfMnCardTsfCl
AppEvent,TransferUniCardCl,AppEvent-TransferUniCardCl,c00389049878,2020-12-29 17:14:36.152,null,TransferUniCardCl
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:14:36.48,null,JwfwLocAndCm
AppEvent,tsfMnCardTsfCl,AppEvent-tsfMnCardTsfCl,c00389049878,2020-12-29 17:15:10.762,null,tsfMnCardTsfCl
AppEvent,TransferUniCardCl,AppEvent-TransferUniCardCl,c00389049878,2020-12-29 17:15:10.777,null,TransferUniCardCl
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:15:11.135,null,JwfwLocAndCm
AppEvent,TransferCardNameCl,AppEvent-TransferCardNameCl,c00389049878,2020-12-29 17:15:14.453,null,TransferCardNameCl
AppEvent,TransferCardCardnumCl,AppEvent-TransferCardCardnumCl,c00389049878,2020-12-29 17:15:17.234,null,TransferCardCardnumCl
$AppEnd,null,null,c00389049878,2020-12-29 17:17:50.397,235.0,null
$AppStart,null,null,c00389049878,2020-12-29 17:18:10.785,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 17:18:10.821,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 17:18:11.337,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 17:18:11.594,null,collectDeviceFingerSuccess
$AppEnd,null,null,c00389049878,2020-12-29 17:18:12.218,1.0,null
$AppStart,null,null,c00389049878,2020-12-29 18:03:00.618,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:03:00.639,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 18:03:01.149,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 18:03:01.325,null,collectDeviceFingerSuccess
AppEvent,requestSIDSuccess,AppEvent-requestSIDSuccess,c00389049878,2020-12-29 18:03:01.559,null,requestSIDSuccess
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:02.201,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:02.209,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:02.377,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:02.387,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:03.04,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:03.054,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:03.426,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:03.436,null,FortuneHideCardBalaCl
AppEvent,fortunePageCl,AppEvent-fortunePageCl,c00389049878,2020-12-29 18:03:03.447,null,fortunePageCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:03.709,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:03.724,null,FortuneHideCardBalaCl
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:03:04.885,2688.0,Main
$AppEnd,null,null,c00389049878,2020-12-29 18:03:04.951,4.0,null
$AppStart,null,null,c00389049878,2020-12-29 18:03:04.963,null,null
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:04.977,null,FortuneHideCardBalaCl
AppEvent,FortuneHideCardBalaCl,AppEvent-FortuneHideCardBalaCl,c00389049878,2020-12-29 18:03:04.984,null,FortuneHideCardBalaCl
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:03:06.207,1234.0,Main
$AppEnd,null,null,c00389049878,2020-12-29 18:03:06.239,1.0,null
AppEvent,shumeiInitBegin,AppEvent-shumeiInitBegin,c00389049878,2020-12-29 18:03:08.805,null,shumeiInitBegin
AppEvent,shumeiInitBegin,AppEvent-shumeiInitBegin,c00389049878,2020-12-29 18:03:08.812,null,shumeiInitBegin
AppEvent,shumeiInitEnd,AppEvent-shumeiInitEnd,c00389049878,2020-12-29 18:03:08.82,null,shumeiInitEnd
AppEvent,fileLocation,AppEvent-fileLocation,c00389049878,2020-12-29 18:03:08.845,null,fileLocation
AppEvent,localVIDBeforeEncrypt,AppEvent-localVIDBeforeEncrypt,c00389049878,2020-12-29 18:03:08.876,null,localVIDBeforeEncrypt
AppEvent,localVIDAfterEncrypt,AppEvent-localVIDAfterEncrypt,c00389049878,2020-12-29 18:03:08.884,null,localVIDAfterEncrypt
AppEvent,close_start_page,AppEvent-close_start_page,c00389049878,2020-12-29 18:03:08.896,null,close_start_page
AppEvent,fileLocation,AppEvent-fileLocation,c00389049878,2020-12-29 18:03:08.922,null,fileLocation
$AppStart,null,null,c00389049878,2020-12-29 18:03:08.935,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:03:09.01,null,collectDeviceFinger
AppEvent,localDeviceFingerBeforeEncrypt,AppEvent-localDeviceFingerBeforeEncrypt,c00389049878,2020-12-29 18:03:09.096,null,localDeviceFingerBeforeEncrypt
AppEvent,localDeviceFingerAfterEncrypt,AppEvent-localDeviceFingerAfterEncrypt,c00389049878,2020-12-29 18:03:09.13,null,localDeviceFingerAfterEncrypt
AppEvent,requestSIDSuccess,AppEvent-requestSIDSuccess,c00389049878,2020-12-29 18:03:09.361,null,requestSIDSuccess
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 18:03:09.384,null,JwfwLocAndCm
AppPageView,WelcomeView,AppPageView-WelcomeView,c00389049878,2020-12-29 18:03:09.443,500.0,WelcomeView
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:03:09.489,null,collectDeviceFinger
AppEvent,collectDeviceFingerFailed,AppEvent-collectDeviceFingerFailed,c00389049878,2020-12-29 18:03:09.496,null,collectDeviceFingerFailed
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 18:03:09.677,null,collectDeviceFingerSuccess
AppEvent,recUpdate,AppEvent-recUpdate,c00389049878,2020-12-29 18:03:09.923,null,recUpdate
AppEvent,recUpdate,AppEvent-recUpdate,c00389049878,2020-12-29 18:03:09.929,null,recUpdate
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 18:03:10.401,null,JwfwLocAndCm
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:03:14.505,null,collectDeviceFinger
AppEvent,collectDeviceFingerFailed,AppEvent-collectDeviceFingerFailed,c00389049878,2020-12-29 18:03:14.525,null,collectDeviceFingerFailed
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 18:05:12.443,122862.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:05:12.5,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 18:05:12.536,123.0,null
$AppStart,null,null,c00389049878,2020-12-29 18:08:25.781,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:08:25.819,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 18:08:26.354,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 18:08:26.642,null,collectDeviceFingerSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 18:08:27.58,1757.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:08:27.599,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 18:08:27.654,1.0,null
AppEvent,shumeiInitBegin,AppEvent-shumeiInitBegin,c00389049878,2020-12-29 18:08:30.789,null,shumeiInitBegin
AppEvent,shumeiInitBegin,AppEvent-shumeiInitBegin,c00389049878,2020-12-29 18:08:30.795,null,shumeiInitBegin
AppEvent,shumeiInitEnd,AppEvent-shumeiInitEnd,c00389049878,2020-12-29 18:08:30.802,null,shumeiInitEnd
AppEvent,fileLocation,AppEvent-fileLocation,c00389049878,2020-12-29 18:08:30.823,null,fileLocation
AppEvent,localVIDBeforeEncrypt,AppEvent-localVIDBeforeEncrypt,c00389049878,2020-12-29 18:08:30.851,null,localVIDBeforeEncrypt
AppEvent,localVIDAfterEncrypt,AppEvent-localVIDAfterEncrypt,c00389049878,2020-12-29 18:08:30.857,null,localVIDAfterEncrypt
AppEvent,close_start_page,AppEvent-close_start_page,c00389049878,2020-12-29 18:08:30.863,null,close_start_page
AppEvent,fileLocation,AppEvent-fileLocation,c00389049878,2020-12-29 18:08:30.888,null,fileLocation
$AppStart,null,null,c00389049878,2020-12-29 18:08:30.901,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:08:30.949,null,collectDeviceFinger
AppEvent,localDeviceFingerBeforeEncrypt,AppEvent-localDeviceFingerBeforeEncrypt,c00389049878,2020-12-29 18:08:31.015,null,localDeviceFingerBeforeEncrypt
AppEvent,localDeviceFingerAfterEncrypt,AppEvent-localDeviceFingerAfterEncrypt,c00389049878,2020-12-29 18:08:31.032,null,localDeviceFingerAfterEncrypt
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 18:08:31.279,null,JwfwLocAndCm
AppEvent,requestSIDSuccess,AppEvent-requestSIDSuccess,c00389049878,2020-12-29 18:08:31.298,null,requestSIDSuccess
AppPageView,WelcomeView,AppPageView-WelcomeView,c00389049878,2020-12-29 18:08:31.408,500.0,WelcomeView
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:08:31.45,null,collectDeviceFinger
AppEvent,collectDeviceFingerFailed,AppEvent-collectDeviceFingerFailed,c00389049878,2020-12-29 18:08:31.459,null,collectDeviceFingerFailed
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 18:08:31.582,null,collectDeviceFingerSuccess
AppEvent,recUpdate,AppEvent-recUpdate,c00389049878,2020-12-29 18:08:32.098,null,recUpdate
AppEvent,recUpdate,AppEvent-recUpdate,c00389049878,2020-12-29 18:08:32.105,null,recUpdate
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 18:08:32.207,null,JwfwLocAndCm
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:08:36.471,null,collectDeviceFinger
AppEvent,collectDeviceFingerFailed,AppEvent-collectDeviceFingerFailed,c00389049878,2020-12-29 18:08:36.492,null,collectDeviceFingerFailed
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 18:08:37.018,5470.0,MainPg
AppEvent,meManageCl,AppEvent-meManageCl,c00389049878,2020-12-29 18:08:37.03,null,meManageCl
AppEvent,myInfoAtMinePg,AppEvent-myInfoAtMinePg,c00389049878,2020-12-29 18:08:39.555,null,myInfoAtMinePg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:08:39.592,null,Main
AppEvent,trackStartLoadingRN,AppEvent-trackStartLoadingRN,c00389049878,2020-12-29 18:08:39.702,null,trackStartLoadingRN
AppEvent,trackRNJavaScriptDidLoad,AppEvent-trackRNJavaScriptDidLoad,c00389049878,2020-12-29 18:08:39.799,null,trackRNJavaScriptDidLoad
AppEvent,mainPageCl,AppEvent-mainPageCl,c00389049878,2020-12-29 18:08:43.724,null,mainPageCl
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 18:08:45.221,1502.0,MainPg
AppEvent,meManageCl,AppEvent-meManageCl,c00389049878,2020-12-29 18:08:45.236,null,meManageCl
MyCl,null,null,c00389049878,2020-12-29 18:08:49.066,null,null
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:08:49.093,null,Main
AppPageView,Delegate,AppPageView-Delegate,c00389049878,2020-12-29 18:08:49.156,38.0,Delegate
AppEvent,trackStartLoadingRN,AppEvent-trackStartLoadingRN,c00389049878,2020-12-29 18:08:49.25,null,trackStartLoadingRN
AppEvent,trackRNJavaScriptDidLoad,AppEvent-trackRNJavaScriptDidLoad,c00389049878,2020-12-29 18:08:49.29,null,trackRNJavaScriptDidLoad
AppEvent,myInfoAtMinePg,AppEvent-myInfoAtMinePg,c00389049878,2020-12-29 18:08:54.889,null,myInfoAtMinePg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:08:54.925,3824.0,Main
AppEvent,trackStartLoadingRN,AppEvent-trackStartLoadingRN,c00389049878,2020-12-29 18:08:55.031,null,trackStartLoadingRN
AppEvent,trackRNJavaScriptDidLoad,AppEvent-trackRNJavaScriptDidLoad,c00389049878,2020-12-29 18:08:55.078,null,trackRNJavaScriptDidLoad
MyCl,null,null,c00389049878,2020-12-29 18:08:59.936,null,null
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:08:59.973,1094.0,Main
AppPageView,Delegate,AppPageView-Delegate,c00389049878,2020-12-29 18:09:00.053,46.0,Delegate
AppEvent,trackStartLoadingRN,AppEvent-trackStartLoadingRN,c00389049878,2020-12-29 18:09:00.159,null,trackStartLoadingRN
AppEvent,trackRNJavaScriptDidLoad,AppEvent-trackRNJavaScriptDidLoad,c00389049878,2020-12-29 18:09:00.209,null,trackRNJavaScriptDidLoad
myBillAllTypeCl,null,null,c00389049878,2020-12-29 18:09:00.818,null,null
myBillAllStaCl,null,null,c00389049878,2020-12-29 18:09:00.83,null,null
myBillTimeMotCl,null,null,c00389049878,2020-12-29 18:09:00.846,null,null
myBillAllTypePg,null,null,c00389049878,2020-12-29 18:09:00.867,null,null
myBillAllStaPg,null,null,c00389049878,2020-12-29 18:09:00.877,null,null
myBillTimeMotPg,null,null,c00389049878,2020-12-29 18:09:00.885,null,null
AppEvent,mainPageCl,AppEvent-mainPageCl,c00389049878,2020-12-29 18:09:03.135,null,mainPageCl
AppEvent,HomeMoreCl,AppEvent-HomeMoreCl,c00389049878,2020-12-29 18:09:05.288,null,HomeMoreCl
AppPageView,HomeMoreWd,AppPageView-HomeMoreWd,c00389049878,2020-12-29 18:09:05.3,2170.0,HomeMoreWd
AppEvent,HomeLocationCl,AppEvent-HomeLocationCl,c00389049878,2020-12-29 18:09:11.967,null,HomeLocationCl
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 18:09:11.993,null,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:09:12.006,null,Main
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 18:09:12.408,null,JwfwLocAndCm
LocMainCitySw,null,null,c00389049878,2020-12-29 18:09:12.492,null,null
LocOffshoreCitySw,null,null,c00389049878,2020-12-29 18:09:12.502,null,null
AppPageView,CityList,AppPageView-CityList,c00389049878,2020-12-29 18:09:13.231,1197.0,CityList
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 18:09:13.94,695.0,MainPg
AppEvent,meManageCl,AppEvent-meManageCl,c00389049878,2020-12-29 18:09:13.957,null,meManageCl
MyCl,null,null,c00389049878,2020-12-29 18:09:19.066,null,null
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:09:19.116,null,Main
AppPageView,Delegate,AppPageView-Delegate,c00389049878,2020-12-29 18:09:19.187,42.0,Delegate
AppEvent,trackStartLoadingRN,AppEvent-trackStartLoadingRN,c00389049878,2020-12-29 18:09:19.312,null,trackStartLoadingRN
AppEvent,trackRNJavaScriptDidLoad,AppEvent-trackRNJavaScriptDidLoad,c00389049878,2020-12-29 18:09:19.364,null,trackRNJavaScriptDidLoad
AppEvent,logoutApply,AppEvent-logoutApply,c00389049878,2020-12-29 18:09:21.199,null,logoutApply
AppEvent,MySetDropCl,AppEvent-MySetDropCl,c00389049878,2020-12-29 18:09:21.216,null,MySetDropCl
AppEvent,MySetDropOutDetCl,AppEvent-MySetDropOutDetCl,c00389049878,2020-12-29 18:09:22.122,null,MySetDropOutDetCl
AppEvent,logoutConfirm,AppEvent-logoutConfirm,c00389049878,2020-12-29 18:09:22.134,null,logoutConfirm
AppEvent,userStateChange,AppEvent-userStateChange,c00389049878,2020-12-29 18:09:22.34,null,userStateChange
$SignUp,null,null,c00389049878,2020-12-29 18:10:03.082,null,null
AppEvent,meManageCl,AppEvent-meManageCl,c00389049878,2020-12-29 18:10:03.133,null,meManageCl
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:10:16.744,13601.0,Main
$AppEnd,null,null,c00389049878,2020-12-29 18:10:16.808,47.0,null
$AppStart,null,null,c00389049878,2020-12-29 18:10:55.65,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:10:55.668,null,collectDeviceFinger
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 18:10:56.693,null,collectDeviceFingerSuccess
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 18:10:56.731,null,JwfwLocAndCm
AppEvent,mainPageCl,AppEvent-mainPageCl,c00389049878,2020-12-29 18:10:56.931,null,mainPageCl
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 18:10:58.852,1926.0,MainPg
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:10:58.876,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 18:10:58.9,3.0,null
$AppStart,null,null,c00389049878,2020-12-29 18:16:02.695,null,null
AppEvent,collectDeviceFinger,AppEvent-collectDeviceFinger,c00389049878,2020-12-29 18:16:02.747,null,collectDeviceFinger
JwfwLocationCm,JwfwLocAndCm,JwfwLocationCm-JwfwLocAndCm,c00389049878,2020-12-29 18:16:03.201,null,JwfwLocAndCm
AppEvent,collectDeviceFingerSuccess,AppEvent-collectDeviceFingerSuccess,c00389049878,2020-12-29 18:16:03.508,null,collectDeviceFingerSuccess
AppPageView,MainPg,AppPageView-MainPg,c00389049878,2020-12-29 18:16:03.805,1050.0,MainPg
AppEvent,meManageCl,AppEvent-meManageCl,c00389049878,2020-12-29 18:16:03.816,null,meManageCl
AppPageView,Main,AppPageView-Main,c00389049878,2020-12-29 18:16:04.969,null,Main
$AppEnd,null,null,c00389049878,2020-12-29 18:16:05.031,2.0,null
